Symbol,BuyTime,SellTime,BuyPriceForUnitBTC,SellPriceForUnitBTC,SellReason,ProfitFeeIncluded,PercentageProfitFeeIncluded,WhiteList
VENBTC;Thu Mar 08 03:09:44 CET 2018;Thu Mar 08 04:00:44 CET 2018;0,000415220;0,000412470;2;-0,221340374;-0,738539787;true
GXSBTC;Thu Mar 08 03:09:49 CET 2018;Thu Mar 08 04:00:45 CET 2018;0,000322400;0,000318400;2;-0,394552401;-1,316491162;true
CHATBTC;Thu Mar 08 03:12:07 CET 2018;Thu Mar 08 04:00:46 CET 2018;0,000013060;0,000012730;2;-0,905963904;-3,022902583;true
DASHBTC;Thu Mar 08 04:09:45 CET 2018;Thu Mar 08 06:00:41 CET 2018;0,052040000;0,051262000;2;-0,141537212;-0,472262970;true
VENBTC;Thu Mar 08 04:09:53 CET 2018;Thu Mar 08 06:00:42 CET 2018;0,000415930;0,000412690;2;0,075284005;0,251197881;true
AIONBTC;Thu Mar 08 04:10:10 CET 2018;Thu Mar 08 07:40:15 CET 2018;0,000262300;0,000268800;3;0,967823896;3,229308962;true
VIBEBTC;Thu Mar 08 04:10:14 CET 2018;Thu Mar 08 06:00:44 CET 2018;0,000028950;0,000028380;2;-0,285042109;-0,951091455;true
INSBTC;Thu Mar 08 04:10:15 CET 2018;Thu Mar 08 05:00:47 CET 2018;0,000182000;0,000175800;2;-1,520586972;-5,073696936;true
CHATBTC;Thu Mar 08 04:10:18 CET 2018;Thu Mar 08 07:18:18 CET 2018;0,000012750;0,000012950;3;0,899846852;3,002491999;true
NCASHBTC;Thu Mar 08 04:30:12 CET 2018;Thu Mar 08 05:00:48 CET 2018;0,000002630;0,000002600;2;-0,818689653;-2,731697208;true
POWRBTC;Thu Mar 08 04:31:50 CET 2018;Thu Mar 08 06:00:45 CET 2018;0,000044700;0,000043710;2;-0,355043761;-1,184663867;true
XZCBTC;Thu Mar 08 04:35:51 CET 2018;Thu Mar 08 06:00:45 CET 2018;0,004670000;0,004774000;0;1,131864807;3,776659349;true
SNGLSBTC;Thu Mar 08 04:39:32 CET 2018;Thu Mar 08 07:32:15 CET 2018;0,000008370;0,000008510;3;0,910189633;3,037002445;true
NCASHBTC;Thu Mar 08 05:22:17 CET 2018;Thu Mar 08 06:00:47 CET 2018;0,000002610;0,000002590;2;0,274664749;0,916465630;true
SALTBTC;Thu Mar 08 05:27:36 CET 2018;Thu Mar 08 07:00:44 CET 2018;0,000338000;0,000325000;2;-0,735519379;-2,454185450;true
NEBLBTC;Thu Mar 08 05:28:08 CET 2018;Thu Mar 08 07:00:45 CET 2018;0,001295700;0,001256500;2;-0,485976001;-1,621541544;true
GVTBTC;Thu Mar 08 05:41:52 CET 2018;Thu Mar 08 06:44:27 CET 2018;0,003760100;0,003846200;3;0,997426046;3,328081569;true
NCASHBTC;Thu Mar 08 06:10:24 CET 2018;Thu Mar 08 07:00:47 CET 2018;0,000002610;0,000002570;2;-0,330988754;-1,104400246;true
VIABTC;Thu Mar 08 07:20:11 CET 2018;Thu Mar 08 07:22:17 CET 2018;0,000343300;0,000355700;3;0,941536712;3,141597302;true
ONTBTC;Thu Mar 08 07:30:15 CET 2018;Thu Mar 08 07:32:19 CET 2018;0,000514140;0,000746000;3;13,604134880;45,392508775;false
ONTBTC;Thu Mar 08 07:34:11 CET 2018;Thu Mar 08 07:34:18 CET 2018;0,000540850;0,000569970;3;1,499176069;5,002255821;false
ONTBTC;Thu Mar 08 07:36:12 CET 2018;Thu Mar 08 07:38:19 CET 2018;0,000632940;0,000530030;4;-4,906098353;-16,370031209;false
ONTBTC;Thu Mar 08 07:40:13 CET 2018;Thu Mar 08 07:42:19 CET 2018;0,000415600;0,000367410;4;-3,610216935;-12,046102552;false
ONTBTC;Thu Mar 08 07:44:20 CET 2018;Thu Mar 08 07:46:20 CET 2018;0,000351000;0,000310970;4;-3,392652255;-11,320161009;false
ONTBTC;Thu Mar 08 07:48:09 CET 2018;Thu Mar 08 07:48:15 CET 2018;0,000320000;0,000306280;4;-1,301898360;-4,344005206;false
